"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","4.4 out of 5 stars","Verified Purchase","DE","Fantastic value for money, about a third of the auto renewal price.Install should be easy, but if you have a previous McAfee protection, the App still tries to up sell you to another product at 3 times the price. I had to Google how to install the new protection, but you basically have to go in My Account on the App, and manually select it.It’s easy to install, but only when you know how to!","Reviewed in the United Kingdom on 12 October 2023"
"2","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","steve","Really easy transition, great product and far cheaper than buy direct from the manufacturer.","Reviewed in the United Kingdom on 9 January 2024"
"3","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","1.0 out of 5 stars","Verified Purchase","DE","I have been using this product for a few years and I always buy from Amazon due to price (the auto-renewal from McAfee is much more - although I do note they have a special offer on this year at 2 years for £27 ish per year which is pretty good).It installs easy on PC (windows) and on my android phone, but iPad is a real pain.  What is not explained, (and I am thankful to another reviewer for the hint) is that, is that it will not work on an iPad unless you use the Chrome browser. Most things default to safari so you need to be clear about how you do it!The other thing which is also not mentioned in any instructions is the app on iPad is not ""Total Protection"" - it offers ""Mcafee Security: VPN & Privacy"".  But after you (finally ......!) complete the install and 'sync account', you will see it counts as one of your 10 licenses against ""Total Protection"".The other thing I noted is that the VPN product, while worth having if you spend lots of time in coffee shops on strange wifi, is limited to 500mb while using the VPN so it's really a trial - and that is not advertised, Amazon need to grip that.  500mb is not going to last very long at all.The protection it gives is really good, but I feel the issues I mention above need addressing by both McAfee and Amazon and thus why it lost a star","Reviewed in the United Kingdom on 12 October 2023"
"4","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Amazon Customer","The price is great compared to what McAfee offered direct via email.","Reviewed in the United Kingdom on 21 October 2023"
"5","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Ronny","very easy and very fast delivery","Reviewed in the United Kingdom on 7 February 2022"
"6","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","William Driver","i have been trying to get a refund ? with out succes ?  i downloaded the 5 devices onto laptop but i could not send a device to my lap top ? it said 6% downloaded and could not download any more ? it been pretty easy these last few years vbut this time its been a nightmare ? i phoned up for helpand i was advised he would have to get into my laptop and he would fix it ? i gave permision ? and he installed installer and got into my laptop ? he said everything was ok ? i was protected ? i think my apple phone is prtected but my laptop is not ?then the trouble started my email accounts wanted me to sign in and change my passwords ? i was locked out for a week and i pay a monthly subscription £4.99 for help  but since i joined i have been locked out a few times over passwords ? and i have to contact them from yahoo and other emails i joined trying to get my emails back i need my emails for the hospital and im stressed outbecause when im locked out i cannot talk to macafee or amazan ? i noticed another persom having the same problems as me saying his expensive computer as been rendered usless","Reviewed in the United Kingdom on 5 January 2024"
"7","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","cornontyne","Simple to purchase and worked well after activation.","Reviewed in the United Kingdom on 29 December 2023"
"8","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","steve","Did have some troubles downloading as my laptop is windows 7 and it said it wouldn’t load,  but once I restarted the laptop, it seemed to update and work, now least I’ve got antivirus for another year. Would recommend","Reviewed in the United Kingdom on 9 January 2024"
"9","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","1.0 out of 5 stars","Verified Purchase","Amazon Customer","","Reviewed in the United Kingdom on 29 January 2024"
"10","McAfee Total Protection 2024, 1 Device | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|1 Year Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Liam Dalton","Let me say that McAfee provides good protection, doesn't cause system lag or any performance issues and does what it says well.  But it is also very very annoying, pop ups, try this, upgrade to that, all the time, they aren't in Windows notifications so I can't find a way to mute them or disable them.  Then on top of that for 3 months before it's due to expire you get hounded to turn on auto renew, problem is it is always cheaper to buy off amazon then it is to but from McAfee.  On the whole a good option BUT for the annoying pop ups.","Reviewed in the United Kingdom on 30 January 2024"
