"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.8 out of 5 stars","Verified Purchase","Derek John Moore","What can I say except these bitters have been going since Adam was a lad & taste great when added to cocktails & for making your Pink Gin.They also last a long time in the bottle.","Reviewed in the United Kingdom on 22 December 2023"
"2","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Julian Hughes","Excellent with cocktails 🍸","Reviewed in the United Kingdom on 5 May 2023"
"3","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","3.0 out of 5 stars","Verified Purchase","Derek John Moore","This is perfect as it is in so many recipes for cocktails. And a better deal than the supermarket. Order yours today","Reviewed in the United Kingdom on 22 December 2023"
"4","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great for making Mocktails","Reviewed in the United Kingdom on 9 February 2024"
"5","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","EbMonkey","The top fell out so instead of drops appearing it came out in a rush. Full refund given without any aggro. Great service Amazon","Reviewed in the United Kingdom on 12 January 2024"
"6","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Miss T Odupitan","Great friend old fashion always a compliment to any enthusiasts or mixologist","Reviewed in the United Kingdom on 11 January 2024"
"7","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Seasoned Buyer","This product is really good and lasts as you only use so little in it. Makes amazing Malawi Shandys.","Reviewed in the United Kingdom on 5 November 2023"
"8","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.0 out of 5 stars","Verified Purchase","Naganishi","Yes it’s good but as the silly women in my house took it upon themselves to have a clear out and threw out two bottles one unopened!","Reviewed in the United Kingdom on 1 March 2024"
"9","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","shelly","good","Reviewed in the United Kingdom on 13 November 2023"
"10","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","tiredof waiting","Flavour as expected.","Reviewed in the United Kingdom on 1 December 2023"
